,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,tasiilaq,GL,2022-04-23 07:20:53,65.6145,-37.6368,100,95,45.03200000000002,1.01
1,sao joao da barra,BR,2022-04-23 07:20:54,-21.6403,-41.0511,52,63,82.75999999999999,3.56
2,hambantota,LK,2022-04-23 07:20:54,6.1241,81.1185,90,76,84.16400000000004,4.68
3,upernavik,GL,2022-04-23 07:20:54,72.7868,-56.1549,100,96,6.5839999999999925,4.02
4,ushuaia,AR,2022-04-23 07:20:55,-54.8,-68.3,40,75,42.727999999999966,3.09
5,roald,NO,2022-04-23 07:20:55,62.5833,6.1333,0,76,60.188000000000045,6.69
6,khorramshahr,IR,2022-04-23 07:20:55,30.4397,48.1664,0,6,98.83399999999999,3.09
7,opuwo,NA,2022-04-23 07:20:56,-18.0607,13.84,79,25,82.65199999999999,2.32
8,hermanus,ZA,2022-04-23 07:20:56,-34.4187,19.2345,51,61,64.076,6.35
9,bangui,CF,2022-04-23 07:18:13,4.3612,18.555,100,54,85.81999999999996,1.32
10,uyo,NG,2022-04-23 07:17:52,5.0333,7.9266,100,74,82.976,1.72
11,lebu,CL,2022-04-23 07:20:56,-37.6167,-73.65,100,97,56.75,4.29
12,bojnurd,IR,2022-04-23 07:20:57,37.4747,57.329,75,59,66.41600000000001,7.2
13,chapais,CA,2022-04-23 07:20:57,49.7834,-74.8492,63,81,14.053999999999949,2.03
14,jamestown,US,2022-04-23 07:20:57,42.097,-79.2353,100,58,51.656000000000034,3.09
15,busselton,AU,2022-04-23 07:20:58,-33.65,115.3333,4,51,64.81400000000004,4.99
16,vardo,NO,2022-04-23 07:20:58,70.3705,31.1107,100,84,38.53399999999999,8.06
17,arraial do cabo,BR,2022-04-23 07:20:58,-22.9661,-42.0278,0,58,84.434,6.17
18,lobito,AO,2022-04-23 07:20:58,-12.3481,13.5456,100,77,81.30199999999998,4
19,hithadhoo,MV,2022-04-23 07:20:59,-0.6,73.0833,30,69,85.58599999999997,4.25
20,bambous virieux,MU,2022-04-23 07:20:59,-20.3428,57.7575,40,69,79.484,6.69
21,eyl,SO,2022-04-23 07:20:59,7.9803,49.8164,27,59,88.15999999999998,5.05
22,taolanaro,,,,,,,,
23,ponta do sol,PT,2022-04-23 07:21:00,32.6667,-17.1,78,51,67.38800000000005,3.76
24,montevideo,UY,2022-04-23 07:17:51,-34.8335,-56.1674,0,82,53.88800000000005,2.57
25,manzil tamim,,,,,,,,
26,sokoni,TZ,2022-04-23 07:21:00,-6.4333,39.55,14,70,84.07400000000001,4.09
